timestep,KE,collisions
50,3174.380064,0
100,3316.265682,0
150,4261.349150,0
200,5487.385446,8661
250,8149.481188,24928
300,12151.674212,42843
350,12599.414160,53115
400,11218.123545,54871
450,12139.378907,60923
500,12582.909506,68827
550,12243.784036,82330
600,11427.291169,84692
650,12039.409149,94033
700,11658.373908,98340
750,12071.014503,102404
800,12713.464015,108118
850,14047.263536,114055
900,14626.473437,119984
950,14751.081760,125444
1000,15163.718837,131207
1050,15308.537143,135932
1100,15172.426556,140130
1150,14913.090156,143857
1200,14727.027278,147589
1250,14663.386279,151196
1300,16104.551203,154320
1350,15987.621872,157515
1400,16103.933142,160792
1450,16031.388466,163831
1500,18546.296570,166397
1550,18436.136116,169280
1600,18348.327529,171757
1650,18878.682846,174326
1700,18910.006938,176664
1750,18723.926527,178794
1800,18654.279370,180981
1850,18905.607499,182819
1900,18853.397368,184952
1950,18964.594733,187341
2000,19859.821411,189634
2050,19742.166315,191691
2100,19589.929054,193735
2150,19350.553596,195584
2200,19268.492170,197378
2250,19199.105358,199223
2300,19049.505962,201039
2350,18863.020055,202663
2400,18764.740582,204480
2450,18655.109120,206130
2500,18490.923560,207786
2550,18345.494844,209302
2600,18260.108619,211107
2650,18357.085061,213051
2700,18417.729493,214837
2750,18229.794131,216334
2800,18049.355561,217903
2850,17942.301006,219494
2900,17729.145265,220797
2950,17617.492596,222245
3000,17476.605547,223886
3050,17363.257728,225752
3100,17188.389494,227230
3150,17085.429297,228615
3200,16944.840373,230072
3250,16855.289065,231366
3300,16752.406460,232545
3350,16895.349547,233986
3400,16797.684351,235213
3450,16700.432423,236525
3500,16614.111738,237989
3550,16529.673897,239485
3600,16427.382713,240854
3650,16309.205813,242032
3700,16255.280765,243383
3750,16845.194828,244577
3800,16901.029566,245765
3850,16874.143534,247101
3900,17029.127360,248513
3950,16841.463415,249567
4000,16774.769938,250980
4050,16780.045102,252238
4100,16831.883115,253576
4150,16757.219625,254980
4200,16677.288639,256265
4250,16532.934668,257594
4300,16400.978120,258590
4350,16291.347202,259725
4400,16230.990648,261035
4450,16110.334076,262429
4500,15988.003811,263466
4550,15942.933062,264704
4600,15845.787416,265885
4650,15760.228352,266905
4700,15710.683690,268051
4750,15614.441243,269357
4800,15517.585071,270374
4850,15409.402580,271366
4900,15384.090948,272565
4950,15254.512635,273538
5000,15217.376812,274431
5050,16287.770817,275495
5100,16200.652030,276503
5150,16121.086697,277582
5200,15968.258083,278645
5250,15896.042240,279561
5300,16051.883869,280645
5350,15850.919306,281475
5400,15757.498899,282363
5450,15647.816656,283408
5500,15598.257601,284364
5550,15458.458994,285240
5600,15318.856053,286139
5650,15229.278796,287016
5700,15087.607885,287836
5750,15063.768070,288739
5800,14930.716964,289618
5850,14861.034995,290516
5900,14804.644613,291812
5950,14714.515450,292830
6000,14617.096915,293707
6050,14533.326505,294768
6100,14438.993885,295667
6150,14371.241486,296705
6200,14290.610116,297720
6250,14251.373694,298975
6300,14109.012271,299813
6350,14046.966464,300714
6400,13949.049335,301609
6450,13867.435955,302403
6500,13778.204063,303267
6550,13712.479504,304072
6600,13593.930556,304855
6650,13467.222776,305406
6700,13450.235123,306449
6750,13323.802075,307320
6800,13352.712230,308243
6850,13269.177372,309177
6900,13232.285579,309944
6950,13800.631837,310963
7000,13800.179042,311917
7050,13708.161038,312982
7100,13669.392355,313705
7150,13533.933161,314580
7200,13470.003430,315410
7250,13406.456582,316299
7300,13360.418378,317119
7350,13302.414855,317983
7400,13253.465762,318914
7450,13212.368243,319732
7500,13183.356094,320545
7550,13139.707025,321359
7600,13170.530973,322179
7650,13158.929755,323178
7700,13086.824604,324056
7750,13027.871068,324880
7800,12963.634868,325734
7850,12960.267502,326729
7900,12899.134558,327770
7950,12811.727702,328619
8000,12841.918685,329680
8050,12838.517861,330421
8100,12788.507394,331324
8150,12928.045171,332062
8200,12894.011481,333093
8250,12826.203304,333840
8300,12716.279865,334549
8350,12660.150215,335302
8400,12591.312135,336080
8450,12544.385153,336699
8500,12487.923760,337448
8550,12512.281780,338195
8600,12444.676455,339063
8650,12489.113527,339892
8700,12445.450981,340736
8750,12491.417935,341442
8800,12553.216746,342350
8850,12473.802891,342951
8900,12403.142487,343775
8950,12399.575961,344566
9000,12359.393328,345576
9050,12351.499976,346225
9100,12430.818100,347035
9150,12418.954693,348151
9200,12309.826453,349158
9250,12259.642349,350017
9300,12213.570597,350836
9350,12295.163988,351787
9400,12199.719319,352566
9450,12132.315696,353282
9500,12031.724172,353931
9550,12036.154936,354746
9600,11966.888872,355636
9650,11986.189664,356536
9700,11997.347312,357477
9750,11997.282129,358242
9800,11998.829517,359117
9850,11970.856360,359908
9900,11919.466015,360918
9950,11848.774737,361582
10000,11788.339754,362359
